site,x,y,coast,north,year,rec.period,rec.period2,night,species,obs,obs.min
2,347000,6704000,40.326013770079946,49.76340981801138,2020,10,1,2020-05-31,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,10,1,2020-06-01,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,11,2,2020-06-14,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,11,2,2020-06-15,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,12,3,2020-06-28,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,12,3,2020-06-29,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,13,4,2020-07-12,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,13,4,2020-07-13,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,14,5,2020-07-26,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,14,5,2020-07-27,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,15,6,2020-08-09,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,15,6,2020-08-10,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,16,7,2020-08-23,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,16,7,2020-08-24,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,17,8,2020-09-06,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,17,8,2020-09-07,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,18,9,2020-09-20,PIPNAT,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,18,9,2020-09-21,PIPNAT,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2019,1,1,2019-05-31,EPTNIL,37,13
